roadsegid,party_time_rate,work_time_rate,pw_ratio
25486,114.142857142857,243.142857142857,-0.361055577768892
25502,541.285714285714,1073,-0.329380530973451
25531,21.5714285714286,93.2857142857143,-0.624378109452736
25595,759.285714285714,1093.14285714286,-0.18022672938999
25611,102.428571428571,120.142857142857,-0.079589216944801
25731,214.285714285714,228.428571428571,-0.031945788964182
25872,255.714285714286,325.714285714286,-0.12039312039312
26004,196.857142857143,166.857142857143,0.0824823252160251
26005,7.57142857142857,11.8571428571429,-0.220588235294118
26007,1.14285714285714,2.71428571428571,-0.407407407407407
26008,1018.71428571429,1409.71428571429,-0.161009471145362
26082,116.714285714286,116.714285714286,0
26117,1300.85714285714,1455.14285714286,-0.0559817540949616
26119,217.428571428571,434.571428571429,-0.333041191936897
26128,455.571428571429,455.571428571429,0
26269,350.571428571429,482.857142857143,-0.15872471717518
26438,40.1428571428571,35,0.0684410646387833
27066,313.714285714286,310.142857142857,0.00572475383558504
27667,584.857142857143,782.285714285714,-0.144409613375131
27782,109.285714285714,92.1428571428571,0.0851063829787234
28002,322.142857142857,292.428571428571,0.0483496048349605
28003,688.714285714286,1317.57142857143,-0.313443463400741
28004,1035,1035,0
28007,726.714285714286,726.714285714286,0
28008,196.714285714286,176.142857142857,0.0551724137931035
28009,939.285714285714,1046.42857142857,-0.053956834532374
28014,13.1428571428571,20.4285714285714,-0.217021276595745
28027,2,2.14285714285714,-0.0344827586206896
28059,1381.57142857143,1461.71428571429,-0.0281867055217806
28105,90.8571428571429,90.8571428571429,0
28106,42.8571428571429,37.4285714285714,0.0676156583629893
28381,840.571428571429,840.571428571429,0
28382,287.714285714286,263.428571428571,0.0440642820114049
28385,1132.14285714286,1116.42857142857,0.00698856416772557
28386,2381.14285714286,2381.14285714286,0
28387,994.285714285714,994.285714285714,0
28390,1432.42857142857,1504.71428571429,-0.0246108949416343
28391,1646.28571428571,1646.42857142857,-4.33858301878508e-05
28392,1549.14285714286,1648.85714285714,-0.0311802019119093
28393,1709,1709,0
28395,209.571428571429,209.571428571429,0
28401,547.142857142857,826,-0.20307948397836
28468,708.428571428571,806.428571428571,-0.0646925688419464
28470,1273.28571428571,1351.28571428571,-0.0297191378184193
28533,31.8571428571429,110,-0.550855991943605
28763,196.142857142857,614.428571428571,-0.516038068382094
28781,1895.57142857143,1924.71428571429,-0.00762844962979582
28939,339.142857142857,398,-0.07984496124031
29081,16.5714285714286,16.5714285714286,0
29084,326.285714285714,419.857142857143,-0.125406854298296
29092,74,107.142857142857,-0.182965299684543
29171,24.1428571428571,24.7142857142857,-0.0116959064327486
29174,291.428571428571,360.714285714286,-0.106243154435926
29179,749.857142857143,614.571428571429,0.0991519212647891
29342,323,201.571428571429,0.231481481481481
29529,436.428571428571,436.428571428571,0
29545,1101,1593.71428571429,-0.182844722472565
29580,563.571428571429,476,0.0842380101690257
29585,316.285714285714,361.571428571429,-0.0668071654373024
29764,80.7142857142857,97.8571428571429,-0.0960000000000001
29880,91,91,0
29881,85.8571428571429,87.1428571428571,-0.00743187448389756
29884,509.571428571429,509.571428571429,0
29887,582.571428571429,582.571428571429,0
29901,75.5714285714286,94.7142857142857,-0.11241610738255
29948,930.142857142857,930.142857142857,0
29960,4.57142857142857,29.5714285714286,-0.732217573221757
30127,417.857142857143,497.714285714286,-0.0872210953346856
30156,1256.28571428571,1712.28571428571,-0.153609239653513
30205,24.4285714285714,52.5714285714286,-0.365491651205937
30229,2459.71428571429,2061.14285714286,0.0881628009859066
30230,2750.85714285714,2880.85714285714,-0.023083557404495
30231,706.428571428571,563.571428571429,0.112485939257593
30233,2919.57142857143,2645.28571428571,0.0492889048621451
30234,2929,2567,0.0658660844250364
30235,2818.85714285714,2963.42857142857,-0.0250024705998617
30238,3373.14285714286,3373.14285714286,0
30239,579.857142857143,689.285714285714,-0.0862224223322827
30241,1105,1302,-0.0818446198587453
30242,43.7142857142857,58,-0.140449438202247
30244,59.2857142857143,61.4285714285714,-0.0177514792899409
30245,79.8571428571429,50.1428571428571,0.228571428571429
30247,2115.14285714286,1848.42857142857,0.0672914038565508
30251,27.4285714285714,27.4285714285714,0
30261,19.2857142857143,16.8571428571429,0.067193675889328
30363,69.7142857142857,69.4285714285714,0.00205338809034902
30420,170.714285714286,202.428571428571,-0.0849923430321592
30449,28.7142857142857,37,-0.126086956521739
30580,670.142857142857,670.142857142857,0
30582,3434.71428571429,3142.42857142857,0.0444396177237185
30583,2503.14285714286,2263.42857142857,0.0502907150992028
30584,674.571428571429,743.142857142857,-0.0483675937122128
30587,2915.28571428571,2744.28571428571,0.0302143019410859
30588,5542,4627,0.0899793490018684
30589,1969.14285714286,1955.85714285714,0.00338489535941764
30592,212.857142857143,212.857142857143,0
30593,1418,1452.42857142857,-0.0119942268451699
30594,212.714285714286,241,-0.0623425692695214
30595,331.714285714286,368.428571428571,-0.0524382779024689
30596,540.428571428571,706.571428571429,-0.133234047428113
30597,65.1428571428571,87.4285714285714,-0.146067415730337
30625,1228.14285714286,1136.57142857143,0.0387240983507521
30628,1310.85714285714,1220.14285714286,0.0358412823841508
30629,2188.28571428571,2099,0.0208256972443437
30631,642.142857142857,534.285714285714,0.0916818457802064
30632,2457.57142857143,2322.57142857143,0.0282418337766355
30633,4185.14285714286,4185.14285714286,0
30891,38,40.1428571428571,-0.0274223034734918
30972,456.285714285714,761.428571428571,-0.250586579070859
31124,95,698.571428571429,-0.760576057605761
31140,109.428571428571,158,-0.181623931623932
31152,90.4285714285714,127.428571428571,-0.16983606557377
31158,1227.85714285714,1413.28571428571,-0.0702077022933795
31174,216.857142857143,421.285714285714,-0.320349227669577
31179,129.857142857143,153.142857142857,-0.0822816759212519
31191,255.142857142857,370.428571428571,-0.184288650376798
31247,295.714285714286,341.857142857143,-0.0723728433788931
31256,39.4285714285714,39.4285714285714,0
31339,709.428571428571,1136,-0.231150332868865
31821,312.857142857143,414.428571428571,-0.139658220388922
31822,498,557.714285714286,-0.0565629228687415
31828,358.428571428571,358.428571428571,0
31874,52.2857142857143,38.8571428571429,0.147335423197492
31973,55.5714285714286,63.7142857142857,-0.0682634730538922
32151,58.2857142857143,65.8571428571429,-0.0609896432681243
32155,116.714285714286,188.285714285714,-0.234660421545667
32486,290.428571428571,335.142857142857,-0.0714775062799726
